,food,quantity,nutrient
640,Fish Oil,30000,VITA_RAE
898,Turkey,22600,VITA_RAE
5072,Veal,21145,VITA_RAE
863,Duck,11984,VITA_RAE
3755,Beef,9442,VITA_RAE
870,Goose,9309,VITA_RAE
1586,Liver Sausage,8308,VITA_RAE
5070,Lamb,7782,VITA_RAE
1648,Oscar Mayer,7133,VITA_RAE
2607,Pork,6502,VITA_RAE
4216,Orange-Flavor Drk,6006,VITA_RAE
7329,Fruit-Flavored Drk,5997,VITA_RAE
1585,Liver Cheese,5252,VITA_RAE
1746,Pate  Truffle Flavor,4505,VITA_RAE
857,Chicken,4374,VITA_RAE
1559,Braunschweiger (A Liver Sausage),4220,VITA_RAE
1715,Liverwurst Sprd,4091,VITA_RAE
4182,Malted Drk Mix,3929,VITA_RAE
3536,Peppers,3863,VITA_RAE
3308,Carrot,3423,VITA_RAE
3267,Chives,3415,VITA_RAE
3281,Shallots,2805,VITA_RAE
215,Paprika,2637,VITA_RAE
218,Pepper,2081,VITA_RAE
1850,Cereals,1589,VITA_RAE
196,Chili Powder,1483,VITA_RAE
709,Margarine-Like Sprd,1433,VITA_RAE
3573,Grape Leaves,1376,VITA_RAE
1815,Cereals Rte,1324,VITA_RAE
4683,Peanut Butter,1172,VITA_RAE
4319,Eel,1137,VITA_RAE
7116,Oil,1044,VITA_RAE
3207,Sweet Potato,1043,VITA_RAE
700,Margarine,1032,VITA_RAE
1596,Pate,1001,VITA_RAE
669,Margarine Sprd,993,VITA_RAE
3291,Carrot Juice,956,VITA_RAE
3225,Tomato Powder,862,VITA_RAE
2902,Carrots,852,VITA_RAE
2,Butter Oil,840,VITA_RAE
7192,Vegetable Oil-Butter Sprd,819,VITA_RAE
7248,Butter-Margarine Blend,819,VITA_RAE
636,Margarine-Butter Blend,819,VITA_RAE
3350,Broccoli,800,VITA_RAE
3137,Pumpkin,778,VITA_RAE
2982,Kale,769,VITA_RAE
4411,Tuna,757,VITA_RAE
3392,Dandelion Grns,727,VITA_RAE
84,Milk,709,VITA_RAE
1,Butter,684,VITA_RAE
2052,Cerls,661,VITA_RAE
2213,Apricots,633,VITA_RAE
1752,Scrapple,626,VITA_RAE
122,Egg,616,VITA_RAE
7391,Breakfast Bar,608,VITA_RAE
3166,Spinach,603,VITA_RAE
1161,Soup,600,VITA_RAE
3246,Vegetables,583,VITA_RAE
2990,Lambsquarters,580,VITA_RAE
3237,Turnip Greens,579,VITA_RAE
3380,Collards,575,VITA_RAE
7023,Whale,561,VITA_RAE
4701,Soy Prot Isolate,559,VITA_RAE
3474,Squash,558,VITA_RAE
3498,Turnip Grns,538,VITA_RAE
245,Spearmint,529,VITA_RAE
3014,Mustard Greens,525,VITA_RAE
216,Parsley,509,VITA_RAE
2960,Dandelion Greens,508,VITA_RAE
1922,Cereals Ready To Eat,501,VITA_RAE
3018,Mustard Spinach,495,VITA_RAE
144,Cheese,486,VITA_RAE
4255,Cocoa Mix,479,VITA_RAE
3059,Peas&Carrots,476,VITA_RAE
190,Spices,469,VITA_RAE
5696,Toaster Pastries,467,VITA_RAE
148,Cheese Sub,437,VITA_RAE
5691,Waffle,437,VITA_RAE
2997,Lettuce,436,VITA_RAE
3073,Pokeberry Shoots,435,VITA_RAE
3243,Turnip Grns&Turnips,431,VITA_RAE
51,Cream,411,VITA_RAE
3257,Winged Bean Leaves,405,VITA_RAE
210,Marjoram,403,VITA_RAE
5690,Waffles,401,VITA_RAE
3249,Vinespinach,400,VITA_RAE
3204,Sweetpotato,399,VITA_RAE
7057,Seal,393,VITA_RAE
3404,Lambs Quarters,391,VITA_RAE
231,Dill Weed,386,VITA_RAE
2869,Beet Grns,383,VITA_RAE
2973,Horseradish-Tree Leafy Tips,378,VITA_RAE
132,Egg Substitute,369,VITA_RAE
2945,Cornsalad,355,VITA_RAE
3410,Mustard Grns,354,VITA_RAE
3396,Horseradish-Tree,351,VITA_RAE
2956,Cress,346,VITA_RAE
7311,Cheese Sprd,341,VITA_RAE
2932,Coriander (Cilantro) Leaves,337,VITA_RAE
2868,Beet Greens,316,VITA_RAE
3197,Swamp Cabbage,315,VITA_RAE
3376,Chard,306,VITA_RAE
225,Sage,295,VITA_RAE
195,Chervil,293,VITA_RAE
199,Coriander Leaf,293,VITA_RAE
2922,Chicory Greens,286,VITA_RAE
5588,Breakfast Tart,285,VITA_RAE
4307,Cisco,283,VITA_RAE
4399,Sturgeon,280,VITA_RAE
5406,Cream Puffs,278,VITA_RAE
2980,Jute,278,VITA_RAE
4305,Caviar,271,VITA_RAE
230,Basil,264,VITA_RAE
3153,Seaweed,260,VITA_RAE
4334,Herring,258,VITA_RAE
226,Savory,257,VITA_RAE
7227,Cheese Product,254,VITA_RAE
4489,Mackerel,252,VITA_RAE
3210,Taro Leaves,241,VITA_RAE
3294,Spinach Souffle,239,VITA_RAE
5377,Cookies,238,VITA_RAE
235,Thyme,238,VITA_RAE
46,Cheese Fd,237,VITA_RAE
2879,Broccoli Raab,227,VITA_RAE
1722,Sausage  Smmr  Pork & Bf  Stks  W/ Cheddar Chs,225,VITA_RAE
2895,Cabbage,223,VITA_RAE
3020,New Zealand Spinach,220,VITA_RAE
3266,Borage,219,VITA_RAE
7159,Rose Hips,217,VITA_RAE
5694,Pancakes,216,VITA_RAE
3487,Taro,212,VITA_RAE
243,Peppermint,212,VITA_RAE
4223,Dairy Drk Mix,209,VITA_RAE
6714,Freezer Queen Gravy&Sliced Bf Meal,208,VITA_RAE
5408,Croissants,206,VITA_RAE
4518,Cuttlefish,203,VITA_RAE
2072,Crls,202,VITA_RAE
3268,Dock,200,VITA_RAE
3036,Onions,200,VITA_RAE
5426,Eclairs,199,VITA_RAE
2065,Cls,196,VITA_RAE
2125,Milk & Crl Bar,188,VITA_RAE
6510,Mcdonald'S,182,VITA_RAE
3593,Fiddlehead Ferns,181,VITA_RAE
4450,Clam,181,VITA_RAE
3584,Fireweed,180,VITA_RAE
0,Orange juice,379.4,VITC
1,Grapefruit juice,248.0,VITC
2,Currants,202.7,VITC
3,Tomato juice,170.3,VITC
5,Kiwifruit,166.9,VITC
6,Drumstick pods,141.0,VITC
7,Vegetable juice cocktail,137.4,VITC
8,Litchis,135.8,VITC
9,Pokeberry shoots,135.3,VITC
10,Oranges,120.7,VITC
11,Lemon juice,94.4,VITC
12,Papayas,88.3,VITC
13,Broccoli,88.0,VITC
15,Grapefruit,85.1,VITC
19,Balsam-pear (bitter gourd),78.1,VITC
20,Brussels sprouts,74.8,VITC
21,Soybeans,74.2,VITC
23,Lime juice,72.6,VITC
25,Beans,71.2,VITC
26,Passion-fruit,70.8,VITC
29,Breadfruit,63.8,VITC
30,Nuts,62.4,VITC
31,Mangos,60.1,VITC
38,Peas,58.8,VITC
41,Carissa,57.0,VITC
42,Cauliflower,56.4,VITC
43,Amaranth leaves,54.3,VITC
44,Gelatin desserts,53.4,VITC
46,Tomato products,52.5,VITC
47,Tangerines,52.1,VITC
48,Taro,52.1,VITC
49,Plantains,49.7,VITC
50,Potatoes,48.6,VITC
52,Carambola,45.4,VITC
53,Asparagus,44.5,VITC
55,Cabbage,44.2,VITC
57,Garlic,42.4,VITC
58,Gooseberries,41.5,VITC
59,Turnip greens,39.5,VITC
60,Collards,38.0,VITC
62,Cress,34.5,VITC
65,Spinach,31.6,VITC
67,Squash,31.0,VITC
68,Lima beans,30.9,VITC
71,Tomatoes,30.2,VITC
73,Turnip greens and turnips,29.7,VITC
74,Rowal,29.4,VITC
75,Jute,28.7,VITC
76,Blackberry juice,28.2,VITC
79,Kale,26.3,VITC
83,Luncheon meat,24.1,VITC
87,Peas and carrots,22.5,VITC
88,Loganberries,22.5,VITC
89,Sweet potato,22.3,VITC
91,Tree fern,21.3,VITC
97,Pastrami,19.7,VITC
0,Mollusks,18.0,VITB12
7,Crustaceans,8.82,VITB12
8,Fish,8.5,VITB12
11,Liverwurst spread,7.4,VITB12
15,Braunschweiger (a liver sausage),5.7,VITB12
16,Pork,4.65,VITB12
19,Cheese,4.04,VITB12
22,Desserts,3.8,VITB12
24,Beef,3.74,VITB12
28,Whey,3.44,VITB12
36,Lamb,3.03,VITB12
49,Chicken,2.62,VITB12
56,Game meat,2.44,VITB12
59,Game meat ,2.41,VITB12
90,Salami,1.76,VITB12
91,Milk,1.74,VITB12
94,Cereals,1.68,VITB12
97,Turkey,1.61,VITB12
104,Cereals ready-to-eat,1.51,VITB12
110,Turkey from whole,1.45,VITB12
116,Veal,1.37,VITB12
118,Sausage,1.34,VITB12
130,Eggnog,1.14,VITB12
141,Bratwurst,1.06,VITB12
147,Pastrami,1.0,VITB12
151,Yogurt,0.95,VITB12
152,Cheese substitute,0.92,VITB12
153,Pork sausage,0.89,VITB12
171,Frankfurter,0.82,VITB12
200,Beerwurst,0.65,VITB12
205,DIGIORNO Pizza,0.6,VITB12
217,Soup,0.59,VITB12
220,Cheese spread,0.56,VITB12
225,Bacon and beef sticks,0.53,VITB12
232,Barbecue loaf,0.48,VITB12
2,Garlic,1.68,VITB6A
3,Rice flour,1.163,VITB6A
4,Beans,1.107,VITB6A
5,Seeds,1.079,VITB6A
7,Potatoes,1.058,VITB6A
8,Corn grain,1.033,VITB6A
10,Turkey,0.919,VITB6A
11,Pork,0.8540000000000001,VITB6A
13,Whey,0.847,VITB6A
15,Fish,0.8340000000000001,VITB6A
18,Beef,0.754,VITB6A
20,Cereals,0.745,VITB6A
22,Game meat,0.7240000000000001,VITB6A
26,Orange juice,0.6809999999999999,VITB6A
27,Peanuts,0.68,VITB6A
28,Nuts,0.672,VITB6A
32,Cornmeal,0.655,VITB6A
34,Tomato products,0.654,VITB6A
35,Plantains,0.653,VITB6A
38,Lamb,0.649,VITB6A
42,Cheese,0.636,VITB6A
43,Apricots,0.619,VITB6A
52,Turkey from whole,0.5920000000000001,VITB6A
53,Barley flour or meal,0.586,VITB6A
55,Cereals ready-to-eat,0.5760000000000001,VITB6A
63,Corn flour,0.541,VITB6A
67,Chicken,0.518,VITB6A
71,Jute,0.496,VITB6A
75,Salami,0.489,VITB6A
81,Game meat ,0.473,VITB6A
84,Desserts,0.469,VITB6A
98,Currants,0.426,VITB6A
106,Pasta,0.40299999999999997,VITB6A
108,Guinea hen,0.39899999999999997,VITB6A
114,Sorghum flour,0.39299999999999996,VITB6A
133,Bamboo shoots,0.36200000000000004,VITB6A
135,Squash,0.353,VITB6A
139,Squab,0.349,VITB6A
138,Burdock root,0.349,VITB6A
0,Seeds,49.05,TOCPHA
1,Nuts,32.98,TOCPHA
3,Cereals ready-to-eat,13.54,TOCPHA
5,Bagels,7.39,TOCPHA
6,Peanuts,7.2,TOCPHA
10,Oil,5.75,TOCPHA
11,Tomato products,4.92,TOCPHA
14,Turnip greens,4.36,TOCPHA
15,Desserts,4.12,TOCPHA
17,Apricots,3.83,TOCPHA
18,Spinach,3.74,TOCPHA
19,Turnip greens and turnips,3.47,TOCPHA
21,Salad dressing,3.04,TOCPHA
0,Fish,566,VITD
9,Milk,128,VITD
10,Eggnog,124,VITD
13,Mushrooms,114,VITD
16,Cereals ready-to-eat,100,VITD
17,Orange juice,100,VITD
21,Cheese,85,VITD
23,Pork,82,VITD
25,Cream,76,VITD
26,Puddings,62,VITD
37,Egg,41,VITD
51,Salami,32,VITD
53,Dessert topping,30,VITD
63,Potatoes,25,VITD
70,Cheese spread,22,VITD
76,Beerwurst,20,VITD
82,Chicken,17,VITD
87,Pork sausage,14,VITD
85,Braunschweiger (a liver sausage),14,VITD
89,Luncheon meat,13,VITD
90,Turkey,13,VITD
98,Milk shakes,12,VITD
91,Cream puff,12,VITD
99,Soup,11,VITD
100,Bologna,11,VITD
104,Barbecue loaf,10,VITD
106,Beef,9,VITD
107,Sausage,9,VITD
111,Turkey from whole,8,VITD
113,Bread,8,VITD
119,Noodles,6,VITD
129,Cake,5,VITD
139,Garlic bread,4,VITD
140,Fat,4,VITD
0,Spinach,891.1,VITK1
1,Turnip greens,851.0,VITK1
2,Turnip greens and turnips,676.6,VITK1
5,Cress,270.9,VITK1
6,Kale,223.5,VITK1
7,Pokeberry shoots,178.2,VITK1
8,Broccoli,162.1,VITK1
9,Noodles,161.8,VITK1
10,Brussels sprouts,155.8,VITK1
11,Beet greens,152.0,VITK1
13,Asparagus,144.0,VITK1
16,Jute,94.0,VITK1
18,Broccoli raab,89.6,VITK1
20,Plantains,77.8,VITK1
21,Kiwifruit,72.5,VITK1
22,Soybeans,66.4,VITK1
23,Cowpeas (blackeyes),62.6,VITK1
24,Cabbage,57.8,VITK1
26,Endive,57.8,VITK1
27,Celery,56.7,VITK1
29,Peas and carrots,52.3,VITK1
30,Beans,51.4,VITK1
31,Blueberries,47.2,VITK1
32,Okra,46.9,VITK1
38,Blackberry juice,38.0,VITK1
39,Edamame,37.1,VITK1
40,Peas,36.0,VITK1
45,Leeks,31.5,VITK1
46,Blackberries,29.9,VITK1
47,Mung beans,28.1,VITK1
48,Pomegranate juice,25.9,VITK1
49,Pears,25.2,VITK1
50,Soup,24.7,VITK1
52,Grapes,24.0,VITK1
1,Whey,3.202,RIBF
3,Desserts,1.656,RIBF
4,Nuts,1.652,RIBF
6,Cheese,1.266,RIBF
7,Blueberries,0.998,RIBF
8,Corn flour,0.9179999999999999,RIBF
9,Milk,0.87,RIBF
11,Cornmeal,0.736,RIBF
12,Wheat flour,0.701,RIBF
15,Cheese spread,0.603,RIBF
16,Liverwurst spread,0.5670000000000001,RIBF
18,Pasta,0.562,RIBF
20,Cereals,0.544,RIBF
22,Biscuits,0.524,RIBF
23,Game meat,0.51,RIBF
26,Cheese substitute,0.502,RIBF
28,Mushrooms,0.488,RIBF
27,Cereals ready-to-eat,0.488,RIBF
29,Eggnog,0.483,RIBF
37,Pork,0.47100000000000003,RIBF
42,Beans,0.46,RIBF
43,Orange juice,0.45799999999999996,RIBF
46,Soybeans,0.44799999999999995,RIBF
48,Macaroni,0.441,RIBF
49,Lamb,0.441,RIBF
52,Braunschweiger (a liver sausage),0.43200000000000005,RIBF
62,Pokeberry shoots,0.41200000000000003,RIBF
74,Seeds,0.382,RIBF
76,Game meat ,0.38,RIBF
79,Soup,0.37799999999999995,RIBF
87,Yogurt,0.364,RIBF
92,Chicken,0.349,RIBF
94,Bagels,0.341,RIBF
97,Salami,0.336,RIBF
98,Corn grain,0.33399999999999996,RIBF
103,Tomato products,0.326,RIBF
106,Mollusks,0.315,RIBF
108,Turkey,0.314,RIBF
109,Edamame,0.313,RIBF
114,Passion-fruit,0.307,RIBF
126,Peanuts,0.28800000000000003,RIBF
131,Veal,0.281,RIBF
134,Beef,0.27699999999999997,RIBF
138,Cream puff,0.272,RIBF
140,Taro,0.271,RIBF
141,Fish,0.26899999999999996,RIBF
4833,Worthington Meatless Corned Bf,20.57,THIA
4837,Worthington Prosage Links,16.69,THIA
6649,Morningstar Farms Spicy Black Bean Burger,13.6,THIA
6644,Morningstar Farms Garden Veggie Patties,11.2,THIA
6648,Morningstar Farms Veggie Sausage Patties,11.0,THIA
4835,Worthington Fripats,10.52,THIA
4841,Worthington Stripples,10.1,THIA
4847,Morningstar Farms Veggie Bacon Strips,10.1,THIA
7356,Yeast Extract Spread,9.7,THIA
2122,Cereals Rte,7.55,THIA
1161,Soup,5.18,THIA
4643,Bacon,4.4,THIA
4178,Malted Drk Mix,4.2330000000000005,THIA
7282,Luncheon Slices,4.0,THIA
4826,Worthington Turkee Slices,3.29,THIA
3619,Sunflower Sd Flr,3.187,THIA
4836,Worthington Dinner Rst,3.04,THIA
4852,Morningstar Farms Grillers Original,2.8,THIA
6162,Rice Bran,2.753,THIA
3683,Sesame Flour,2.6839999999999997,THIA
4678,Veggie Burgers Or Soyburgers  Unprep,2.6510000000000002,THIA
4701,Soy Prot Isolate,2.6,THIA
3613,Sesame Meal,2.573,THIA
3611,Sesame Flr,2.53,THIA
3299,Seaweed,2.38,THIA
5528,Leavening Agents,2.36,THIA
4645,Sausage,2.343,THIA
4840,Worthington Stakelets,2.27,THIA
3602,Cottonseed Meal,2.217,THIA
3600,Cottonseed Flr,2.102,THIA
1854,Cereals,2.05,THIA
4850,Morningstar Farms Veggie Sausage Links,1.9,THIA
6180,Wheat Germ,1.882,THIA
4824,Worthington Saucettes,1.84,THIA
4848,Morningstar Farms Veggie Bites Country Scramble,1.7,THIA
3701,Seeds,1.6440000000000001,THIA
3722,Sesame Butter,1.59,THIA
4859,Morningstar Farms Chik'N Nuggets,1.57,THIA
3614,Sunflower Sd Krnls,1.48,THIA
543,Salad Drsng,1.445,THIA
6244,Corn Flr,1.429,THIA
4807,Loma Linda Fried Chik'N W/ Gravy,1.41,THIA
4867,Morningstar Farms Sausage Style Recipe Crumbles,1.35,THIA
1922,Cereals Ready To Eat,1.325,THIA
7358,Chicken,1.2770000000000001,THIA
4811,Loma Linda Swiss Stake W/ Gravy,1.27,THIA
199,Coriander Leaf,1.252,THIA
2653,Pork,1.2429999999999999,THIA
3672,Pine Nuts,1.2429999999999999,THIA
4838,Worthington Prosage Roll,1.24,THIA
3610,Sesame Sd Krnls,1.205,THIA
6646,Morningstar Farms Grillers Recipe Crumbles,1.2,THIA
3536,Peppers,1.2,THIA
3661,Macadamia Nuts,1.195,THIA
6219,Spaghetti,1.187,THIA
6201,Macaroni,1.187,THIA
6139,Oat Bran,1.17,THIA
3606,Safflower Sd Krnls,1.163,THIA
4828,Worthington Veg Steaks,1.16,THIA
3607,Safflower Sd Meal,1.153,THIA
6207,Noodles,1.133,THIA
4606,Hyacinth Bns,1.13,THIA
4871,Morningstar Farms Veggie Cakes Southwestern Style,1.1,THIA
4870,Morningstar Farms Veggie Cakes Ginger Teriyaki,1.1,THIA
7284,Vegetarian Fillets,1.1,THIA
4868,Morningstar Farms Veggie Bites Broccoli Cheddar,1.1,THIA
7280,Fish Sticks,1.1,THIA
4791,Soy Flr,1.088,THIA
4656,Soy Flour,1.088,THIA
6031,Potato Chips,1.08,THIA
3276,Parsley,1.04,THIA
4672,Winged Bns,1.03,THIA
669,Margarine Sprd,1.011,THIA
5610,Kellogg,1.0,THIA
7391,Breakfast Bar,1.0,THIA
4810,Loma Linda Tender Rounds W/ Gravy,1.0,THIA
2563,Pork  Frsh  Loin  Tenderloin   Ln Only  Raw,0.998,THIA
3098,Potatoes,0.988,THIA
4806,Loma Linda Little Links,0.97,THIA
5278,Bread Crumbs,0.9670000000000001,THIA
6643,Kraft Macaroni & Cheese Dinner Original Flavor,0.96,THIA
7283,Meatballs,0.938,THIA
1730,Salami  Italian  Pork,0.93,THIA
1613,Salami,0.93,THIA
6151,Rice,0.9259999999999999,THIA
3670,Pilinuts-Canarytree,0.9129999999999999,THIA
3225,Tomato Powder,0.9129999999999999,THIA
4556,Beans,0.9,THIA
4869,Morningstar Farms Veggie Bites Spinach Artichoke,0.9,THIA
3267,Chives,0.9,THIA
7287,Vegetarian Meatloaf Or Patties,0.9,THIA
6185,Wheat Flr,0.892,THIA
5571,Doughnuts,0.89,THIA
4670,Yardlong Bns,0.887,THIA
5611,Kellogg'S Eggo Lowfat Homestyle Waffles,0.88,THIA
4646,Soybeans,0.8740000000000001,THIA
4608,Lentils,0.873,THIA
3673,Pistachio Nuts,0.87,THIA
3660,Hickorynuts,0.867,THIA
220,Poppy Seed,0.8540000000000001,THIA
4602,Cowpeas,0.853,THIA
3257,Winged Bean Leaves,0.833,THIA
2979,Pepeao,0.826,THIA
6168,Semolina,0.8109999999999999,THIA
3609,Sesame Seeds,0.8029999999999999,THIA
3686,Chestnuts,0.802,THIA
3275,Leeks,0.8,THIA
5387,Crackers,0.7879999999999999,THIA
6144,Oats,0.763,THIA
225,Sage,0.754,THIA
3678,Cottonseed Krnls,0.75,THIA
1702,Carl Buddig,0.75,THIA
1717,Salami  Pork  Bf  Less Na,0.738,THIA
1708,Usda Commodity,0.732,THIA
4624,Peas,0.726,THIA
6249,Cornmeal,0.713,THIA
1575,Ham,0.7120000000000001,THIA
1602,Luxury Loaf,0.7070000000000001,THIA
6193,Pasta,0.705,THIA
4644,Meat Extender,0.7020000000000001,THIA
7286,Vegetarian Stew,0.7,THIA
4849,Morningstar Farms Veggie Bites Eggs Florentine,0.7,THIA
4638,Peanut Flour,0.7,THIA
5405,Cracker Meal,0.696,THIA
6228,Oat Flr,0.6920000000000001,THIA
4657,Soy Meal,0.691,THIA
7145,Tennis Bread,0.69,THIA
4832,Worthington Meatless Chick,0.69,THIA
2159,Rice & Wheat Crl Bar,0.682,THIA
4362,Pompano,0.68,THIA
4630,Peanuts,0.675,THIA
2052,Cerls,0.66,THIA
3667,Pecans,0.66,THIA
5263,Bread,0.653,THIA
5689,Usda Cmdty,0.65,THIA
6114,Barley,0.6459999999999999,THIA
215,Paprika,0.645,THIA
3654,Hazelnuts Or Filberts,0.643,THIA
4640,Pigeon Peas (Red Gm),0.643,THIA
4615,Lupins,0.64,THIA
3603,Lotus Seeds,0.64,THIA
1629,New England Brand Sausage,0.64,THIA
1564,Chorizo,0.63,THIA
201,Cumin Seed,0.628,THIA
5411,Croutons,0.623,THIA
101,Whey,0.622,THIA
4619,Mung Bns,0.621,THIA
1657,Oscar Mayer,0.62,THIA
5519,Waffles,0.62,THIA
5064,Lamb,0.62,THIA
3629,Brazilnuts,0.617,THIA
2716,Prk,0.616,THIA
2125,Milk & Crl Bar,0.615,THIA
5457,Pancakes,0.61,THIA
5218,Bagels,0.602,THIA
1577,Ham&Chs Loaf Or Roll,0.601,THIA
5217,Bagel,0.601,THIA
1745,Salami  Italian  Pork & Bf  Dry  Sliced  50% Less Na,0.6,THIA
7285,Sandwich Spread,0.6,THIA
4808,Loma Linda Lofat Big Franks,0.6,THIA
1725,Bacon & Bf Stks,0.6,THIA
7296,Bacon Bits,0.6,THIA
5280,Bread Stuffing,0.596,THIA
1743,Frankfurter,0.593,THIA
6232,Kamut,0.591,THIA
5051,Game Meat,0.59,THIA
5279,Bread Sticks,0.589,THIA
1640,Oscar Mayer  Ham & Cheese Loaf,0.58,THIA
6651,Loma Linda Big Franks,0.58,THIA
5692,Waffle,0.5760000000000001,THIA
5224,Biscuits,0.575,THIA
4613,Lima Bns,0.574,THIA
870,Goose,0.562,THIA
863,Duck,0.562,THIA
4617,Mothbeans,0.562,THIA
4592,Broadbeans (Fava Beans),0.555,THIA
1550,Beerwurst,0.5539999999999999,THIA
1603,Mother'S Loaf,0.55,THIA
211,Mustard Seed,0.5429999999999999,THIA
5428,English,0.541,THIA
5496,Phyllo Dough,0.541,THIA
6028,Cheese Puffs&Twists,0.54,THIA
5518,Tortillas,0.539,THIA
3308,Carrot,0.534,THIA
7143,Frybread,0.531,THIA
5713,Crisped Rice Bar,0.53,THIA
3556,Tomatoes,0.528,THIA
5499,Rolls,0.527,THIA
5369,Cookies,0.524,THIA
5410,Croissants,0.523,THIA
1556,Bologna,0.523,THIA
6179,Wheat Bran,0.523,THIA
5062,Veal,0.52,THIA
5521,Wonton Wrappers (Incl Egg Roll Wrappers),0.519,THIA
5432,English Muffins,0.518,THIA
223,Rosemary,0.514,THIA
228,Spices,0.513,THIA
7199,Turkey&Pork Sausage,0.51,THIA
5741,Pretzels,0.507,THIA
3665,Mixed Nuts,0.504,THIA
6173,Wheat,0.504,THIA
1601,Polish Sausage,0.502,THIA
1719,Sausage  Polish  Bf W/ Chick  Hot,0.502,THIA
4510,Tuna,0.501,THIA
2168,Cereal Wafer Straws,0.5,THIA
4814,Loma Linda Tender Bits,0.5,THIA
3028,Onions,0.5,THIA
4858,Morningstar Farms Meatfree Buffalo Wings,0.5,THIA
3715,Nuts,0.498,THIA
7147,Salmon,0.494,THIA
4801,Tofu,0.494,THIA
5723,Granola Bars,0.49,THIA
4831,Worthington Chic-Ketts,0.49,THIA
4684,Chickpea Flour (Besan),0.486,THIA
3595,Breadfruit Seeds,0.48200000000000004,THIA
1580,Honey Loaf  Pork  Bf,0.48200000000000004,THIA
7211,Pork Sausage Rice Links,0.48,THIA
6507,Mcdonald'S,0.47700000000000004,THIA
4596,Chickpeas (Garbanzo Bns,0.47700000000000004,THIA
5427,English Muffin,0.47700000000000004,THIA
1166,Gravy,0.47200000000000003,THIA
5512,Sweet Rolls,0.47,THIA
6476,"Papa John'S 14"" Chs Pizza",0.469,THIA
207,Garlic Powder,0.466,THIA
5750,Trail Mix,0.462,THIA
1558,Bratwurst,0.45899999999999996,THIA
6601,Kentucky Fried Chick,0.452,THIA
4866,Morningstar Farms Meal Starters Steak Strips,0.45,THIA
4865,Morningstar Farms Meal Starters Chik'N Strips,0.45,THIA
6181,Wheat Flour,0.447,THIA
6190,Rice Flour,0.44299999999999995,THIA
7121,Caribou,0.442,THIA
5670,Nabisco,0.442,THIA
6480,"Little Caesars 14"" Chs Pizza",0.44,THIA
7398,Celery Flakes,0.44,THIA
1576,Ham Salad Spread,0.435,THIA
6474,"Papa John'S 14"" Pepperoni Pizza",0.431,THIA
1059,Emu,0.43,THIA
3658,Ginkgo Nuts,0.43,THIA
5497,Popovers,0.43,THIA
4479,Burbot,0.429,THIA
2453,Tamarinds,0.428,THIA
4508,Trout,0.426,THIA
6432,Wendy'S,0.42200000000000004,THIA
4225,Orange-Flavor Drk,0.42200000000000004,THIA
6137,Millet,0.42100000000000004,THIA
4524,Catfish,0.42,THIA
203,Dill Seed,0.418,THIA
204,Dill Weed,0.418,THIA
213,Onion Powder,0.418,THIA
6120,Buckwheat Flr,0.41700000000000004,THIA
6171,Triticale,0.41600000000000004,THIA
83,Milk,0.415,THIA
4151,Coffee Sub,0.413,THIA
6486,"Pizza Hut 14"" Pepperoni Pizza",0.409,THIA
