,food,quantity,nutrient
39,Pasta,71.32,CHOCDF
41,Oat flour,68.33,CHOCDF
46,Nuts,66.03,CHOCDF
47,Cereals ready-to-eat,65.73,CHOCDF
49,Potatoes,64.11,CHOCDF
50,Macaroni,62.9,CHOCDF
51,Breadfruit,59.66,CHOCDF
53,DIGIORNO Pizza,58.16,CHOCDF
55,Boysenberries,57.11,CHOCDF
58,Passion-fruit,55.18,CHOCDF
6124,Corn Bran,79.0,FIBTG
3587,Fungi,70.09999847,FIBTG
197,Cinnamon,53.09999847,FIBTG
1951,Cereals Rte,50.0,FIBTG
226,Savory,45.70000076,FIBTG
7162,Pinon Nuts,43.40000153,FIBTG
6179,Wheat Bran,42.79999924,FIBTG
214,Spices,42.79999924,FIBTG
223,Rosemary,42.59999847,FIBTG
200,Coriander Seed,41.90000153,FIBTG
225,Sage,40.29999924,FIBTG
210,Marjoram,40.29999924,FIBTG
205,Fennel Seed,39.79999924,FIBTG
4595,Carob Flour,39.79999924,FIBTG
192,Caraway Seed,38.0,FIBTG
3599,Chia Seeds,37.70000076,FIBTG
215,Paprika,37.40000153,FIBTG
196,Chili Powder,34.20000076,FIBTG
198,Cloves,34.20000076,FIBTG
6074,Cocoa,33.90000153,FIBTG
202,Curry Powder,33.20000076,FIBTG
3276,Parsley,32.70000076,FIBTG
4608,Lentils,30.5,FIBTG
245,Spearmint,29.79999924,FIBTG
3563,Peppers,28.70000076,FIBTG
7398,Celery Flakes,27.79999924,FIBTG
3701,Seeds,27.29999924,FIBTG
218,Pepper,27.20000076,FIBTG
3267,Chives,26.20000076,FIBTG
4624,Peas,25.5,FIBTG
4562,Beans,25.20000076,FIBTG
4592,Broadbeans (Fava Beans),25.0,FIBTG
206,Fenugreek Seed,24.60000038,FIBTG
7159,Rose Hips,24.10000038,FIBTG
3308,Carrot,23.60000038,FIBTG
4151,Coffee Sub,23.29999924,FIBTG
5395,Crackers,22.89999962,FIBTG
6165,Rye Flour,22.60000038,FIBTG
188,Allspice,21.60000038,FIBTG
229,Turmeric,21.10000038,FIBTG
203,Dill Seed,21.10000038,FIBTG
5528,Leavening Agents,21.0,FIBTG
6162,Rice Bran,21.0,FIBTG
212,Nutmeg,20.79999924,FIBTG
4613,Lima Bns,20.60000038,FIBTG
7141,Corn,20.5,FIBTG
209,Mace,20.20000076,FIBTG
7160,Chokecherries,20.0,FIBTG
220,Poppy Seed,19.5,FIBTG
2174,Cereals,19.39999962,FIBTG
6527,Mcdonald'S,18.79999924,FIBTG
248,Campbell Soup Co,18.79999924,FIBTG
7215,Papad,18.60000038,FIBTG
6121,Bulgur,18.29999924,FIBTG
4622,Mungo Bns,18.29999924,FIBTG
5764,Baking Choc,18.10000038,FIBTG
4788,Soybeans,17.70000076,FIBTG
4655,Soy Flour,17.5,FIBTG
4644,Meat Extender,17.5,FIBTG
4596,Chickpeas (Garbanzo Bns,17.39999962,FIBTG
6114,Barley,17.29999924,FIBTG
3610,Sesame Sd Krnls,16.89999962,FIBTG
3225,Tomato Powder,16.5,FIBTG
4619,Mung Bns,16.29999924,FIBTG
3645,Coconut Meat,16.29999924,FIBTG
4791,Soy Flr,16.0,FIBTG
4639,Peanut Flour,15.80000019,FIBTG
7150,Agave,15.60000038,FIBTG
6139,Oat Bran,15.39999962,FIBTG
6053,Popcorn,15.10000038,FIBTG
4640,Pigeon Peas (Red Gm),15.0,FIBTG
3598,Breadnuttree Seeds,14.89999962,FIBTG
211,Mustard Seed,14.69999981,FIBTG
6172,Triticale Flr,14.60000038,FIBTG
6164,Rye,14.60000038,FIBTG
189,Anise Seed,14.60000038,FIBTG
2400,Persimmons,14.5,FIBTG
5282,Bread Stuffing,14.30000019,FIBTG
5258,Bread,14.30000019,FIBTG
235,Thyme,14.0,FIBTG
3609,Sesame Seeds,14.0,FIBTG
3700,Almonds,13.69999981,FIBTG
204,Dill Weed,13.60000038,FIBTG
5727,Oriental Mix,13.19999981,FIBTG
6180,Wheat Germ,13.19999981,FIBTG
6177,Wheat,12.69999981,FIBTG
208,Ginger,12.5,FIBTG
2192,Apples,12.39999962,FIBTG
3556,Tomatoes,12.30000019,FIBTG
6181,Wheat Flour,12.19999981,FIBTG
194,Celery Seed,11.80000019,FIBTG
3641,Chestnuts,11.69999981,FIBTG
3617,Sunflower Sd Krnls,11.5,FIBTG
3012,Mushrooms,11.5,FIBTG
221,Poultry Seasoning,11.30000019,FIBTG
195,Chervil,11.30000019,FIBTG
3573,Grape Leaves,11.0,FIBTG
6191,Pasta,11.0,FIBTG
4670,Yardlong Bns,11.0,FIBTG
3655,Hazelnuts Or Filberts,11.0,FIBTG
4684,Chickpea Flour (Besan),10.80000019,FIBTG
6028,Cheese Puffs&Twists,10.69999981,FIBTG
4600,Cowpeas,10.69999981,FIBTG
6234,Spelt,10.69999981,FIBTG
3672,Pine Nuts,10.69999981,FIBTG
6144,Oats,10.60000038,FIBTG
6223,Spaghetti,10.60000038,FIBTG
2359,Orange Peel,10.60000038,FIBTG
2322,Lemon Peel,10.60000038,FIBTG
3584,Fireweed,10.60000038,FIBTG
201,Cumin Seed,10.5,FIBTG
7096,Cornmeal,10.39999962,FIBTG
199,Coriander Leaf,10.39999962,FIBTG
3275,Leeks,10.39999962,FIBTG
6747,Burrito,10.39999962,FIBTG
2370,Passion-Fruit,10.39999962,FIBTG
3719,Pistachio Nuts,10.30000019,FIBTG
6118,Buckwheat Groats,10.30000019,FIBTG
7296,Bacon Bits,10.19999981,FIBTG
6226,Barley Flour Or Meal,10.10000038,FIBTG
1180,Sauce,10.10000038,FIBTG
7403,Puddings,10.10000038,FIBTG
6120,Buckwheat Flr,10.0,FIBTG
6117,Buckwheat,10.0,FIBTG
3664,Mixed Nuts,9.899999618999999,FIBTG
207,Garlic Powder,9.899999618999999,FIBTG
2224,Bananas,9.899999618999999,FIBTG
2269,Figs,9.800000191,FIBTG
6126,Corn Flr,9.600000381000001,FIBTG
3667,Pecans,9.600000381000001,FIBTG
7388,Amaranth Flakes,9.5,FIBTG
4630,Peanuts,9.5,FIBTG
4223,Dairy Drk Mix,9.399999618999999,FIBTG
3680,Sesame Butter,9.300000191,FIBTG
3659,Ginkgo Nuts,9.300000191,FIBTG
3028,Onions,9.199999809,FIBTG
6232,Kamut,9.100000381000001,FIBTG
3715,Nuts,9.0,FIBTG
3661,Macadamia Nuts,8.600000381000001,FIBTG
2823,Artichokes,8.600000381000001,FIBTG
5951,Pectin,8.600000381000001,FIBTG
3106,Potatoes,8.600000381000001,FIBTG
4195,Tea,8.5,FIBTG
5461,Pancakes,8.5,FIBTG
6137,Millet,8.5,FIBTG
6006,Cornnuts,8.399999618999999,FIBTG
6205,Macaroni,8.300000191,FIBTG
2383,Peaches,8.199999809,FIBTG
5536,Muffins,8.199999809,FIBTG
2262,Dates,8.0,FIBTG
6236,Teff,8.0,FIBTG
4783,Peanut Butter,8.0,FIBTG
4124,Carob-Flavor Bev Mix,8.0,FIBTG
243,Peppermint,8.0,FIBTG
7156,Prairie Turnips,8.0,FIBTG
2340,Fruit,7.8000001910000005,FIBTG
3589,Wasabi,7.8000001910000005,FIBTG
4679,Peanut Sprd,7.8000001910000005,FIBTG
6005,Banana Chips,7.6999998089999995,FIBTG
3297,Seaweed,7.6999998089999995,FIBTG
5743,Pretzels,7.6999998089999995,FIBTG
4766,Chickpeas,7.599999905,FIBTG
6710,Hodgson Mill,7.599999905,FIBTG
1518,Potato Soup,7.599999905,FIBTG
4597,Chickpeas ,7.599999905,FIBTG
3629,Brazilnuts,7.5,FIBTG
2395,Pears,7.5,FIBTG
5580,Taco Shells,7.5,FIBTG
7158,Raspberries,7.5,FIBTG
6099,Frozen Novelties,7.5,FIBTG
4134,Cocoa Mix,7.5,FIBTG
5503,Rolls,7.5,FIBTG
6031,Potato Chips,7.5,FIBTG
7372,Cereal Rte,7.3000001910000005,FIBTG
2215,Apricots,7.3000001910000005,FIBTG
5436,English Muffins,7.3000001910000005,FIBTG
5586,Cookies,7.3000001910000005,FIBTG
6038,Taro Chips,7.1999998089999995,FIBTG
4666,Tofu,7.1999998089999995,FIBTG
6227,Barley Malt Flr,7.099999905,FIBTG
5688,Usda Cmdty,7.099999905,FIBTG
2426,Plums,7.099999905,FIBTG
2263,Elderberries,7.0,FIBTG
6141,Quinoa,7.0,FIBTG
2434,Raisins,6.8000001910000005,FIBTG
2260,Currants,6.8000001910000005,FIBTG
3675,Walnuts,6.8000001910000005,FIBTG
2221,Avocados,6.8000001910000005,FIBTG
6209,Noodles,6.8000001910000005,FIBTG
1085,Soup,6.8000001910000005,FIBTG
6649,Morningstar Farms Spicy Black Bean Burger,6.8000001910000005,FIBTG
6111,Amaranth,6.6999998089999995,FIBTG
7039,Cranberries,6.6999998089999995,FIBTG
2316,Kumquats,6.5,FIBTG
6228,Oat Flr,6.5,FIBTG
3660,Hickorynuts,6.400000095,FIBTG
2949,Cowpeas (Blackeyes),6.400000095,FIBTG
1168,Campbell Soup,6.3000001910000005,FIBTG
6650,Green Giant,6.3000001910000005,FIBTG
6169,Sorghum,6.3000001910000005,FIBTG
7152,Lambsquarters,6.3000001910000005,FIBTG
5517,Tortillas,6.3000001910000005,FIBTG
7235,Granola Bar,6.1999998089999995,FIBTG
3436,Pigeonpeas,6.1999998089999995,FIBTG
4702,Campbell Soup Co.,6.1999998089999995,FIBTG
6188,Wild Rice,6.1999998089999995,FIBTG
2487,Rowal,6.1999998089999995,FIBTG
7280,Fish Sticks,6.099999905,FIBTG
7284,Vegetarian Fillets,6.099999905,FIBTG
4785,Peanut Butter W/ Omega-3,6.099999905,FIBTG
3677,Breadfruit Seeds,6.0,FIBTG
4685,Hummus,6.0,FIBTG
6081,Frz Nvl,6.0,FIBTG
1174,Gravy,6.0,FIBTG
3129,Potato Flour,5.900000095,FIBTG
6652,Morningstar Farms Vegan Burger Made W/ Org Soy,5.6999998089999995,FIBTG
213,Onion Powder,5.6999998089999995,FIBTG
0,Desserts,73.94,FASAT
1,Beef,30.04,FASAT
2,Cream,27.638,FASAT
3,Cheese,25.229,FASAT
10,Nuts,22.436999999999998,FASAT
13,Cheese spread,18.658,FASAT
18,Dessert topping,15.790999999999999,FASAT
23,Chicken,13.675,FASAT
26,Peanuts,11.367,FASAT
27,Milk,11.277000000000001,FASAT
29,Pork,10.610999999999999,FASAT
30,Salami,10.58,FASAT
31,Chocolate-flavored hazelnut spread,10.517000000000001,FASAT
33,Seeds,10.082,FASAT
34,Lamb,10.023,FASAT
51,Oil,8.119,FASAT
54,Cream puff,7.972,FASAT
58,Milk substitutes,7.41,FASAT
60,Sausage,7.301,FASAT
61,Squab,7.165,FASAT
64,POPEYES,6.909,FASAT
67,Potatoes,6.7010000000000005,FASAT
69,Frankfurter,6.626,FASAT
70,Eggnog,6.581,FASAT
72,DIGIORNO Pizza,6.431,FASAT
74,Fat,6.374,FASAT
77,Chocolate,6.246,FASAT
79,Veal,6.069,FASAT
82,Turkey,5.852,FASAT
90,Game meat,5.621,FASAT
94,Liverwurst spread,5.459,FASAT
103,Cake,5.159,FASAT
107,Luncheon meat,4.968999999999999,FASAT
110,Cereals ready-to-eat,4.828,FASAT
111,Biscuits,4.758,FASAT
112,Beerwurst,4.725,FASAT
117,Bacon and beef sticks,4.48,FASAT
124,Cookies,4.284,FASAT
125,Cheese substitute,4.1930000000000005,FASAT
684,Shortening,100.0,FAT
635,Oil,100.0,FAT
644,Fish Oil,100.0,FAT
639,Vegetable Oil,100.0,FAT
625,Shortening Frying Hvy Duty,100.0,FAT
624,Shortening Household Soybn (Hydr)&Palm,100.0,FAT
623,Shortening Frying (Hvy Duty),100.0,FAT
535,Fat,100.0,FAT
622,Shortening Industrial,100.0,FAT
620,Shortening Confectionery,100.0,FAT
617,Shortening Cake Mix,100.0,FAT
616,Shortening Frying (Reg),100.0,FAT
615,Shortening Bread,100.0,FAT
536,Lard,100.0,FAT
707,Usda Cmdty Fd,100.0,FAT
7220,Flaxseed Oil,100.0,FAT
651,Animal Fat,99.5,FAT
2721,Pork,99.5,FAT
2,Butter Oil,99.48,FAT
650,Meat Drippings (Lard,98.59,FAT
7082,Whale,96.5,FAT
3764,Beef,94.0,FAT
7168,Sea Lion,94.0,FAT
7031,Caribou,84.4,FAT
1,Butter,81.11,FAT
652,Margarine,80.71,FAT
7248,Butter-Margarine Blend,80.7,FAT
636,Margarine-Butter Blend,80.32,FAT
3670,Pilinuts-Canarytree,79.55,FAT
586,Salad Drsng,79.4,FAT
7393,Mayonnaise Drsng,77.8,FAT
3662,Macadamia Nuts,76.08,FAT
3718,Pecans,75.23,FAT
690,Margarine-Like Shortening,71.0,FAT
4876,Lamb,70.61,FAT
7251,Margarine-Like Sprd,70.0,FAT
3688,Coconut Meat,69.08,FAT
3671,Nuts,68.37,FAT
767,Chicken,67.95,FAT
4963,Veal,67.83,FAT
3629,Brazilnuts,66.43,FAT
3676,Walnuts,65.21,FAT
3660,Hickorynuts,64.37,FAT
3656,Hazelnuts Or Filberts,62.4,FAT
3695,Sesame Sd Krnls,61.21,FAT
7088,Willow,61.0,FAT
3672,Pine Nuts,60.98,FAT
3721,Almond Butter,59.1,FAT
3630,Butternuts,56.98,FAT
3617,Sunflower Sd Krnls,56.8,FAT
3684,Sesame Butter,56.44,FAT
3664,Mixed Nuts,56.33,FAT
125,Egg,55.8,FAT
3709,Almonds,55.17,FAT
4679,Peanut Sprd,54.89,FAT
4785,Peanut Butter W/ Omega-3,54.17,FAT
7192,Vegetable Oil-Butter Sprd,53.0,FAT
6527,Mcdonald'S,52.91,FAT
4628,Peanuts,52.5,FAT
5765,Baking Choc,52.31,FAT
4683,Peanut Butter,51.47,FAT
3628,Beechnuts,50.0,FAT
3608,Sesame Seeds,49.67,FAT
4694,Usda Cmdty,49.54,FAT
3634,Cashew Butter,49.41,FAT
3613,Sesame Meal,48.0,FAT
3711,Cashew Nuts,47.77,FAT
3707,Sunflower Sd Butter,47.73,FAT
668,Margarine Sprd,47.53,FAT
3685,Watermelon Sd Krnls,47.37,FAT
3719,Pistachio Nuts,45.97,FAT
3604,Pumpkin&Squash Sd Krnls,45.85,FAT
956,Turkey,44.45,FAT
1725,Bacon & Bf Stks,44.2,FAT
1599,Pepperoni,43.98,FAT
1596,Pate,43.84,FAT
5731,Popcorn,43.55,FAT
7017,Agutuk,43.5,FAT
3701,Seeds,42.16,FAT
7049,Fish,42.0,FAT
1180,Sauce,41.58,FAT
220,Poppy Seed,41.56,FAT
62,Dessert Topping,39.92,FAT
859,Duck,39.34,FAT
5380,Puff Pastry,38.5,FAT
3606,Safflower Sd Krnls,38.45,FAT
1564,Chorizo,38.27,FAT
1722,Sausage  Smmr  Pork & Bf  Stks  W/ Cheddar Chs,37.91,FAT
7211,Pork Sausage Rice Links,37.63,FAT
1755,Beef Sausage,37.57,FAT
6015,Potato Chips,37.47,FAT
5711,Corn-Based,37.11,FAT
3683,Sesame Flour,37.1,FAT
6611,Kentucky Fried Chick,37.02,FAT
51,Cream,37.0,FAT
1730,Salami  Italian  Pork,37.0,FAT
6021,Sesame Stks,36.7,FAT
212,Nutmeg,36.31,FAT
3678,Cottonseed Krnls,36.29,FAT
1607,Pork&Bf Sausage,36.25,FAT
6967,Plantain Chips,35.94,FAT
144,Cheese,35.59,FAT
61,Cream Substitute,35.48,FAT
1754,Pork Sausage,35.04,FAT
6631,Popeyes,34.74,FAT
3649,Coconut Crm,34.68,FAT
187,Egg Mix,34.5,FAT
1552,Blood Sausage,34.5,FAT
6019,Potato Sticks,34.4,FAT
7162,Pinon Nuts,34.08,FAT
554,Sandwich Sprd,34.0,FAT
5371,Cookies,34.0,FAT
1613,Salami,33.72,FAT
866,Goose,33.62,FAT
6005,Banana Chips,33.6,FAT
7258,Salad Dressing,33.4,FAT
1657,Oscar Mayer,33.3,FAT
7185,Mayonnaise,33.3,FAT
5663,Mckee Baking,32.8,FAT
209,Mace,32.38,FAT
7235,Granola Bar,32.2,FAT
1591,Luncheon Meat,32.16,FAT
7175,Imitation Chs,32.0,FAT
5752,Trail Mix,31.9,FAT
6012,Pork Skins,31.8,FAT
6216,Noodles,31.72,FAT
1714,Bratwurst  Veal  Ckd,31.7,FAT
3621,Acorns,31.41,FAT
1581,Sausage,31.33,FAT
5725,Granola Bars,31.1,FAT
3599,Chia Seeds,30.75,FAT
1758,Pork & Turkey Sausage,30.64,FAT
1761,Bologna,30.61,FAT
1717,Salami  Pork  Bf  Less Na,30.5,FAT
1620,Thuringer,30.43,FAT
4801,Tofu,30.34,FAT
3622,Acorn Flour,30.17,FAT
1670,Oscar Mayer  Wieners (Beef Franks  Bun Length),30.1,FAT
5811,Chocolate-Flavored Hazelnut Sprd,29.73,FAT
1567,Frankfurter  Bf,29.57,FAT
4643,Bacon,29.52,FAT
1749,Frankfurter  Bf  Htd,29.46,FAT
6657,Jimmy Dean,29.4,FAT
1741,Bologna  Pork  Turkey & Bf,29.25,FAT
1558,Bratwurst,29.18,FAT
7353,Coffee,29.1,FAT
1561,Cheesefurter,29.0,FAT
211,Mustard Seed,28.76,FAT
1601,Polish Sausage,28.72,FAT
7311,Cheese Sprd,28.6,FAT
7371,Frankfurter,28.51,FAT
1559,Braunschweiger (A Liver Sausage),28.5,FAT
1586,Liver Sausage,28.5,FAT
1746,Pate  Truffle Flavor,28.5,FAT
1635,Oscar Mayer. Bologna (Wisconsin Made Ring),28.4,FAT
1616,Smoked Link Sausage,28.23,FAT
7180,Turkey Bacon,27.9,FAT
1560,Brotwurst,27.8,FAT
3627,Almond Paste,27.74,FAT
1583,Knackwurst  Knockwurst  Pork  Bf,27.7,FAT
1568,Frankfurter  Bf & Pork,27.64,FAT
1724,Swisswurst  Pork & Bf  W/ Swiss Chs  Smoked,27.37,FAT
1582,Kielbasa,27.29,FAT
1703,Hormel Spam  Luncheon Meat  Pork W/ Ham  Minced  Cnd,27.24,FAT
5668,Nabisco,27.1,FAT
82,Milk,26.71,FAT
5403,Crackers,26.7,FAT
3040,Onion Rings,26.7,FAT
1661,Oscar Mayer  Smokies (Beef),26.65,FAT
4847,Morningstar Farms Veggie Bacon Strips,26.6,FAT
4841,Worthington Stripples,26.6,FAT
1720,Sausage  Polish  Pork & Bf  Smoked,26.56,FAT
5640,Archway Home Style Cookies,26.46,FAT
1745,Salami  Italian  Pork & Bf  Dry  Sliced  50% Less Na,26.4,FAT
1726,Bratwurst  Bf & Pork  Smoked,26.34,FAT
7296,Bacon Bits,25.9,FAT
5406,Cream Puffs,25.9,FAT
1553,Bockwurst  Pork  Veal  Raw,25.87,FAT
1721,Sausage  Pork & Bf  W/ Cheddar Chs  Smoked,25.84,FAT
1751,Frankfurter  Meat,25.76,FAT
1706,Hormel Wrangler Beef Franks,25.69,FAT
5705,Beef Jerky,25.6,FAT
1585,Liver Cheese,25.6,FAT
5727,Oriental Mix,25.58,FAT
1715,Liverwurst Sprd,25.45,FAT
6568,Burger King,25.45,FAT
4648,Soybeans,25.4,FAT
1592,Mortadella,25.39,FAT
194,Celery Seed,25.27,FAT
5418,Doughnuts,25.25,FAT
5416,Danish Pastry,25.2,FAT
45,Cheese Fd,25.18,FAT
7409,Mackerel,25.1,FAT
7122,Seal,25.08,FAT
5675,Pillsbury,25.0,FAT
6038,Taro Chips,24.9,FAT
1008,Poultry,24.73,FAT
1750,Frankfurter  Meat  Htd,24.31,FAT
5753,Tortilla Chips,24.2,FAT
1161,Soup,24.1,FAT
7079,Walrus,24.1,FAT
1787,Cereals Rte,24.06,FAT
5897,Frostings,24.0,FAT
3651,Coconut Milk,23.84,FAT
880,Squab,23.8,FAT
6073,Cocoa,23.71,FAT
5296,Coffeecake,23.3,FAT
6437,Wendy'S,23.17,FAT
7199,Turkey&Pork Sausage,23.0,FAT
1566,Dutch Brand Loaf,22.91,FAT
5580,Taco Shells,22.6,FAT
1734,Yachtwurst,22.6,FAT
1549,Beerwurst,22.53,FAT
1735,Beerwurst  Pork & Bf,22.53,FAT
5323,Cheesecake Commly Prep,22.5,FAT
1603,Mother'S Loaf,22.3,FAT
201,Cumin Seed,22.27,FAT
1610,Salami  Ckd  Bf,22.2,FAT
6458,Taco Bell,22.17,FAT
5992,Toppings,22.0,FAT
170,Kraft Velveeta Past Process Chs Sprd,22.0,FAT
4639,Peanut Flour,21.9,FAT
4654,Soy Flr,21.86,FAT
184,Cream Sub,21.47,FAT
5408,Croissants,21.0,FAT
167,Kraft Cheez Whiz Past Process Chs Sau,21.0,FAT
1528,Adobo Fresco,20.9,FAT
1628,Luncheon Sausage,20.9,FAT
6162,Rice Bran,20.85,FAT
6293,Breakfast Items,20.77,FAT
1575,Ham,20.68,FAT
4653,Soy Flour,20.65,FAT
1682,Louis Rich  Turkey Bacon,20.3,FAT
1708,Usda Commodity,20.26,FAT
7370,Frozen Novelt,20.2,FAT
4368,Sablefish,20.14,FAT
198,Cloves,20.07,FAT
1028,Chicken Patty,20.04,FAT
5307,Cake,19.9,FAT
1026,Chicken Nuggets,19.82,FAT
66,Sour Crm,19.52,FAT
5661,Keebler,19.5,FAT
3720,Pumpkin&Squash Seeds,19.4,FAT
1719,Sausage  Polish  Bf W/ Chick  Hot,19.4,FAT
5443,Muffins,19.24,FAT
5672,Pepperidge Farm Crusty Italian Bread,19.2,FAT
3125,Potatoes,18.71,FAT
1577,Ham&Chs Loaf Or Roll,18.7,FAT
1578,Ham And Cheese Spread,18.53,FAT
5671,Pepperidge Farm Classic Style Croutons,18.5,FAT
5592,Toaster Pastries,18.4,FAT
5510,Sweet Rolls,18.3,FAT
5412,Croutons,18.3,FAT
1640,Oscar Mayer  Ham & Cheese Loaf,18.2,FAT
1696,Butcher Boy Meats,18.17,FAT
1723,Sausage  Turkey  Brkfst Links  Mild,18.09,FAT
1002,Turkey Patties,18.0,FAT
7280,Fish Sticks,18.0,FAT
7284,Vegetarian Fillets,18.0,FAT
5673,Pepperidge Farm Appl Turnovers,18.0,FAT
4334,Herring,18.0,FAT
4305,Caviar,17.9,FAT
7142,Smelt,17.9,FAT
4675,Falafel,17.8,FAT
200,Coriander Seed,17.77,FAT
6496,Sausage Griddle Cake Sandwich,17.76,FAT
4485,Halibut,17.74,FAT
5616,Kellogg'S Pop-Tarts Pastry Swirls,17.7,FAT
1030,Chicken Breast Tenders,17.69,FAT
4504,Shad,17.65,FAT
4838,Worthington Prosage Roll,17.61,FAT
7274,Breakfast Bars,17.6,FAT
1563,Chicken Sprd,17.56,FAT
1692,Louis Rich,17.5,FAT
1615,Sandwich Spread,17.34,FAT
218,Pepper,17.27,FAT
6325,Entrees,17.25,FAT
1551,Sausage  Berliner  Pork  Bf,17.2,FAT
6482,"Little Caesars 14"" Chs Pizza",16.99,FAT
1007,Turkey Stks,16.9,FAT
6469,"Domino'S 14"" Cheese Pizza",16.82,FAT
3737,Bf,16.76,FAT
196,Chili Powder,16.76,FAT
5742,Pretzels,16.7,FAT
1604,Picnic Loaf,16.64,FAT
56,Sour Drsng,16.57,FAT
1593,Olive Loaf,16.5,FAT
5223,Biscuits,16.5,FAT
4672,Winged Bns,16.32,FAT
1716,Roast Bf Sprd,16.28,FAT
4839,Worthington Smoked Turkey,16.12,FAT
1740,Bologna  Pork & Turkey  Lite,16.06,FAT
1557,Bologna  Turkey,16.05,FAT
5860,Desserts,16.0,FAT
1600,Pickle&Pimiento Loaf,15.95,FAT
5198,Game Meat Bison,15.93,FAT
189,Anise Seed,15.9,FAT
3581,Peppers,15.85,FAT
4220,Alcoholic Bev,15.7,FAT
5426,Eclairs,15.7,FAT
6491,Fast Fd,15.68,FAT
6476,"Papa John'S 14"" Chs Pizza",15.66,FAT
5712,Cornnuts,15.64,FAT
6581,Fast Fds,15.63,FAT
0,Desserts,119.66,SUGARS
1,Whey,107.97,SUGARS
2,Currants,89.68,SUGARS
3,Cranberry sauce,87.95,SUGARS
4,Orange juice,77.76,SUGARS
5,Grapefruit juice,70.71,SUGARS
6,Pears,69.9,SUGARS
7,Syrups,67.42,SUGARS
9,Blueberries,61.5,SUGARS
11,Apricots,51.26,SUGARS
14,Plantains,47.28,SUGARS
16,Fruit cocktail,44.42,SUGARS
19,Applesauce,36.09,SUGARS
20,Peaches,33.26,SUGARS
21,Tamarind nectar,31.88,SUGARS
22,Yogurt,31.69,SUGARS
23,Pomegranate juice,31.5,SUGARS
24,Nuts,31.24,SUGARS
30,Figs,29.24,SUGARS
32,Litchis,28.94,SUGARS
37,Cheese substitute,26.75,SUGARS
38,Passion-fruit,26.43,SUGARS
41,Cherries,25.44,SUGARS
43,Cream puff,24.92,SUGARS
44,Breadfruit,24.2,SUGARS
46,Cereals ready-to-eat,24.16,SUGARS
47,Milk,23.88,SUGARS
49,Grapes,23.77,SUGARS
51,Dessert topping,22.59,SUGARS
52,Mangos,22.54,SUGARS
54,Grapefruit,21.91,SUGARS
56,Frostings,21.22,SUGARS
57,Persimmons,21.05,SUGARS
59,Cereals,20.9,SUGARS
64,Tangerines,20.63,SUGARS
65,Eggnog,20.45,SUGARS
66,Papaya,20.36,SUGARS
69,Chocolate-flavored hazelnut spread,20.0,SUGARS
70,Mckee Baking,19.38,SUGARS
71,Blackberry juice,19.25,SUGARS
72,Muffin,19.21,SUGARS
73,Tomato products,18.4,SUGARS
74,Popcorn,18.34,SUGARS
78,Puddings,17.8,SUGARS
81,Apples,17.47,SUGARS
86,Kiwifruit,16.18,SUGARS
87,Blackberries,16.11,SUGARS
88,Rowal,16.07,SUGARS
89,Beets,16.06,SUGARS
90,Continental Mills,16.0,SUGARS
95,Cookies,15.46,SUGARS
97,Cake,15.26,SUGARS
101,Toaster pastries,14.78,SUGARS
104,Pillsbury,14.31,SUGARS
106,Biscuits,13.98,SUGARS
109,Bread,13.7,SUGARS
115,POPEYES,13.0,SUGARS
118,Peas and carrots,12.12,SUGARS
122,Corn,11.74,SUGARS
125,Papayas,11.34,SUGARS
126,Loganberries,11.32,SUGARS
127,Sweet potato,11.25,SUGARS
129,Alcoholic beverage,11.21,SUGARS
133,Keikitos (muffins),10.84,SUGARS
134,Fish,10.79,SUGARS
135,Archway Home Style Cookies,10.76,SUGARS
140,Chocolate,10.41,SUGARS
145,Cheese spread,10.25,SUGARS
150,Squash,10.05,SUGARS
